timestamp,pose,dx,dy,scale,true_pose
2025-11-12 20:11:07.603547,normal,-1,4,1.014,
2025-11-12 20:11:07.646996,normal,0,3,1.014,
2025-11-12 20:11:07.689135,normal,-1,4,1.015,
2025-11-12 20:11:07.729251,normal,-1,4,1.029,
2025-11-12 20:11:07.761824,normal,-1,3,1.014,
2025-11-12 20:11:07.813089,normal,-1,5,1.01,
2025-11-12 20:11:07.861410,normal,0,4,1.01,
2025-11-12 20:11:07.893321,normal,0,4,1.021,
2025-11-12 20:11:07.938145,normal,-1,4,1.005,
2025-11-12 20:11:07.971698,normal,0,4,1.014,
2025-11-12 20:11:08.021892,normal,0,4,1.014,
2025-11-12 20:11:08.062288,normal,-1,4,1.01,
2025-11-12 20:11:08.102885,normal,0,4,1.014,
2025-11-12 20:11:08.143755,normal,-1,5,1.02,
2025-11-12 20:11:08.196729,normal,0,4,1.01,
2025-11-12 20:11:08.241688,normal,0,5,1.015,
2025-11-12 20:11:08.281600,normal,-1,4,1.014,
2025-11-12 20:11:08.411817,normal,-1,4,1.03,
2025-11-12 20:11:08.434134,normal,0,3,1.005,
2025-11-12 20:11:08.465738,normal,-1,5,1.015,
2025-11-12 20:11:08.494620,normal,-1,4,1.005,
2025-11-12 20:11:08.526479,normal,0,3,1.009,
2025-11-12 20:11:08.556088,normal,0,4,1.024,
2025-11-12 20:11:08.591542,normal,0,4,1.019,
2025-11-12 20:11:08.621462,normal,0,5,1.024,
2025-11-12 20:11:08.661898,normal,1,4,1.014,
2025-11-12 20:11:08.704781,normal,-1,4,1.009,
2025-11-12 20:11:08.739730,normal,0,3,1.014,
2025-11-12 20:11:08.771848,normal,0,4,1.014,
2025-11-12 20:11:08.797524,normal,0,4,1.009,
2025-11-12 20:11:08.822034,normal,0,4,1.008,
2025-11-12 20:11:08.857510,normal,0,4,1.008,
2025-11-12 20:11:08.896197,normal,0,4,1.004,
2025-11-12 20:11:08.921816,normal,-1,4,1.005,
2025-11-12 20:11:08.954800,normal,-1,3,1.014,
2025-11-12 20:11:08.981677,normal,0,4,1.014,
2025-11-12 20:11:09.013555,normal,0,3,1.009,
2025-11-12 20:11:09.046526,normal,0,4,1.004,
2025-11-12 20:11:09.084099,normal,0,4,1.004,
2025-11-12 20:11:09.111943,normal,-1,4,1.01,
2025-11-12 20:11:09.142032,normal,0,3,1.008,
2025-11-12 20:11:09.171832,normal,0,5,1.019,
2025-11-12 20:11:09.211952,normal,0,4,1.005,
2025-11-12 20:11:09.242057,normal,-1,4,1.014,
2025-11-12 20:11:10.911634,normal,1,3,1.015,
2025-11-12 20:11:10.946672,normal,2,3,0.995,
2025-11-12 20:11:10.986766,normal,2,3,1.009,
2025-11-12 20:11:11.011835,normal,1,3,0.999,
2025-11-12 20:11:11.045660,normal,1,2,1.009,
2025-11-12 20:11:11.083463,normal,2,2,1.004,
2025-11-12 20:11:11.113944,normal,1,2,1.009,
2025-11-12 20:11:11.141961,normal,1,2,1.009,
2025-11-12 20:11:11.183529,normal,1,3,0.995,
2025-11-12 20:11:11.221660,normal,2,3,0.995,
